txn_id,sender_id,receiver_id,amount_inr,timestamp,label,fraud_type
TXN_005720,ACC_0243,ACC_0448,219465.29,2025-01-01 01:09:01.000000,0,CLEAN
TXN_006471,ACC_0480,ACC_0153,33613.62,2025-01-01 01:38:52.000000,0,CLEAN
TXN_004353,ACC_0093,ACC_0020,45402.17,2025-01-01 02:29:51.000000,0,CLEAN
TXN_003447,ACC_0497,ACC_0085,69028.82,2025-01-01 02:31:48.000000,0,CLEAN
TXN_005064,ACC_0338,ACC_0428,38072.11,2025-01-01 02:59:26.000000,0,CLEAN
TXN_000472,ACC_0225,ACC_0234,128151.1,2025-01-01 03:09:00.000000,0,CLEAN
TXN_006391,ACC_0414,ACC_0326,7228794.04,2025-01-01 03:21:46.000000,0,CLEAN
TXN_003444,ACC_0231,ACC_0021,19568.35,2025-01-01 04:39:54.000000,0,CLEAN
TXN_002530,ACC_0360,ACC_0324,869.14,2025-01-01 06:21:18.000000,0,CLEAN
TXN_000609,ACC_0486,ACC_0171,641168.15,2025-01-01 06:48:48.000000,0,CLEAN
TXN_005900,ACC_0256,ACC_0422,59585.69,2025-01-01 07:25:01.000000,0,CLEAN
TXN_004061,ACC_0295,ACC_0378,478571.51,2025-01-01 07:49:20.000000,0,CLEAN
TXN_003514,ACC_0452,ACC_0232,32254.05,2025-01-01 09:06:38.000000,0,CLEAN
TXN_003368,ACC_0378,ACC_0250,44794.06,2025-01-01 09:43:13.000000,0,CLEAN
TXN_001110,ACC_0337,ACC_0113,23441.97,2025-01-01 10:14:18.000000,0,CLEAN
TXN_002667,ACC_0013,ACC_0406,46031.45,2025-01-01 11:24:08.000000,0,CLEAN
TXN_000454,ACC_0167,ACC_0298,32105.2,2025-01-01 11:31:31.000000,0,CLEAN
TXN_000576,ACC_0379,ACC_0260,3516.17,2025-01-01 11:58:12.000000,0,CLEAN
TXN_001026,ACC_0169,ACC_0120,613465.59,2025-01-01 12:45:36.000000,0,CLEAN
TXN_000079,ACC_0130,ACC_0419,201920.85,2025-01-01 14:03:11.000000,0,CLEAN
TXN_004010,ACC_0338,ACC_0096,6121.18,2025-01-01 14:34:57.000000,0,CLEAN
TXN_005791,ACC_0431,ACC_0428,327804.88,2025-01-01 15:01:36.000000,0,CLEAN
TXN_002371,ACC_0276,ACC_0115,72227.78,2025-01-01 15:24:48.000000,0,CLEAN
TXN_006041,ACC_0204,ACC_0147,657.31,2025-01-01 15:33:11.000000,0,CLEAN
TXN_003600,ACC_0112,ACC_0472,3826.35,2025-01-01 17:13:46.000000,0,CLEAN
TXN_002114,ACC_0267,ACC_0059,89160.34,2025-01-01 19:09:12.000000,0,CLEAN
TXN_003083,ACC_0108,ACC_0299,5800.26,2025-01-01 19:13:38.000000,0,CLEAN
TXN_001130,ACC_0493,ACC_0255,75139.32,2025-01-01 20:12:53.000000,0,CLEAN
TXN_000966,ACC_0324,ACC_0029,444567.31,2025-01-01 21:57:59.000000,0,CLEAN
TXN_002509,ACC_0293,ACC_0460,17913.56,2025-01-01 23:39:47.000000,0,CLEAN
TXN_003525,ACC_0229,ACC_0161,22530.92,2025-01-02 00:02:38.000000,0,CLEAN
TXN_005213,ACC_0071,ACC_0458,65977.72,2025-01-02 00:24:10.000000,0,CLEAN
TXN_001455,ACC_0493,ACC_0325,285402.9,2025-01-02 00:39:22.000000,0,CLEAN
TXN_003043,ACC_0414,ACC_0023,7215.13,2025-01-02 00:59:02.000000,0,CLEAN
TXN_005749,ACC_0269,ACC_0099,164375.68,2025-01-02 02:09:56.000000,0,CLEAN
TXN_006225,ACC_0390,ACC_0213,218764.71,2025-01-02 02:26:09.000000,0,CLEAN
TXN_002008,ACC_0278,ACC_0414,4785.7,2025-01-02 02:47:58.000000,0,CLEAN
TXN_005107,ACC_0206,ACC_0344,20581.14,2025-01-02 03:44:32.000000,0,CLEAN
TXN_002436,ACC_0249,ACC_0041,14676.88,2025-01-02 05:35:28.000000,0,CLEAN
TXN_006303,ACC_0294,ACC_0150,446548.06,2025-01-02 05:36:41.000000,0,CLEAN
TXN_003961,ACC_0357,ACC_0157,581893.79,2025-01-02 05:55:14.000000,0,CLEAN
TXN_005125,ACC_0368,ACC_0480,31373.28,2025-01-02 06:03:46.000000,0,CLEAN
TXN_002013,ACC_0307,ACC_0308,24774.4,2025-01-02 06:37:57.000000,0,CLEAN
TXN_003607,ACC_0094,ACC_0423,277860.67,2025-01-02 07:20:33.000000,0,CLEAN
